destination_id,name,description,url,price,image[0].url,image[0].tag,address.city,address.region,address.country,neighborhood,types,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_number_0,product_tags
386,Eenoudervakantie La Roche-en-Ardenne,"Ontdek de Ardennen met je kinderen en andere eenoudergezinnen. Volop natuur, leuke activiteiten en gezellige dorpjes om de hoek. Bekijk onze eenoudervakanties!",https://www.estivant.nl/eenoudervakanties/belgie/la-roche-en-ardenne/,232.00 EUR,"https://www.estivant.nl/media/kfrjrzn1/carindeben-estivantzomer2026_298.jpg?rxy=0.2756892230576441,0.618421052631579&width=1440&height=775&v=1dd3eb6421930a0",Actief,La Roche-en-Ardenne,België,België,La Roche-en-Ardenne,"Actief,Eenoudervakantie",Eenoudervakantie,Actief,Zomervakantie,België,232,"Actief,Zomervakantie,200 tot 500 km,Camping,8-11 jaar,12-14 jaar,15 plus,Kamperen,België,Eenoudervakantie"
358,Eenoudervakantie Vielsalm Herfst,"Vier de herfstvakantie met je kinderen in Vielsalm. Geniet van buitenactiviteiten, ons luxe landhuis en gezelligheid met andere eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/belgie/vielsalm-herfst/,557.00 EUR,"https://www.estivant.nl/media/o5dd1ioo/bos-kinderen.jpg?rxy=0.5,0.43621813915358637&width=1440&height=775&v=1dd4130e2b066b0",Ontspanning,Vielsalm,België,België,Vielsalm,"Ontspanning,Eenoudervakantie",Eenoudervakantie,Ontspanning,Herfstvakantie,België,557,"Ontspanning,Herfstvakantie,200 tot 500 km,4-7 jaar,8-11 jaar,12-14 jaar,Vakantiehuis,België,Eenoudervakantie"
357,Eenoudervakantie Vielsalm Kerst,"Vier kerst met je kinderen en andere eenoudergezinnen in Vielsalm, de Belgische Ardennen. Een luxe landhuis, ultieme gezelligheid en de ultieme kerstsfeer.",https://www.estivant.nl/eenoudervakanties/belgie/vielsalm-kerst/,597.00 EUR,https://www.estivant.nl/media/awtfgnea/7-dsc02997.jpg?width=1440&height=775&v=1dd2e58dcfe3570,Ontspanning,Vielsalm,België,België,Vielsalm,"Ontspanning,Eenoudervakantie",Eenoudervakantie,Ontspanning,Kerstvakantie,België,597,"Ontspanning,Kerstvakantie,200 tot 500 km,4-7 jaar,8-11 jaar,12-14 jaar,Vakantiehuis,België,Eenoudervakantie"
356,Eenoudervakantie Altastenberg-Winterberg,"Ga op wintersport met andere eenoudergezinnen in Winterberg. Een midweek skiën of snowboarden, perfect voor die eerste bochten. Bekijk deze voorjaarsvakantie!",https://www.estivant.nl/eenoudervakanties/duitsland/winterberg/,657.00 EUR,"https://www.estivant.nl/media/bizho1c4/estivant-eenoudervakantie-oostenrijk-flachau-wintersport-groep-skiers-3-2025-1.jpg?rxy=0.5463659147869674,0.6552129912920687&width=1440&height=775&v=1dcf349b091a750",Wintersport,Altastenberg-Winterberg,Duitsland,Duitsland,Altastenberg-Winterberg,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Duitsland,657,"Actief,Wintersport,Voorjaarsvakantie,200 tot 500 km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,Duitsland,Eenoudervakantie"
395,Eenoudervakantie Eifel,Vier vakantie met andere eenoudergezinnen in Prüm-Eifel. Spelen in de natuur en het zwembad. Perfect voor jonge kinderen. Bekijk deze eenoudervakantie!,https://www.estivant.nl/eenoudervakanties/duitsland/prum-eifel/,265.00 EUR,"https://www.estivant.nl/media/rbvgo0cc/istock-1124253037.jpg?rxy=0.5025062656641605,0.6151487055131588&width=1440&height=775&v=1dd44e7f17936d0",Actief,Eifel,Duitsland,Duitsland,Eifel,"Actief,Eenoudervakantie",Eenoudervakantie,Actief,Zomervakantie,Duitsland,265,"Actief,Zomervakantie,200 tot 500 km,Camping,0-3 jaar,4-7 jaar,8-11 jaar,Kamperen,Duitsland,Eenoudervakantie"
403,Eenoudervakantie Ardèche,Vier vakantie met andere eenoudergezinnen in de Ardèche. Camping in de natuur met veel sportieve activiteiten in de buurt. Bekijk deze eenoudervakantie!,https://www.estivant.nl/eenoudervakanties/frankrijk/ardeche/,232.00 EUR,https://www.estivant.nl/media/jc3iqut2/istock-468425064.jpg?width=1440&height=775&v=1dcab16e88c95f0,Glamping,Ardèche,Frankrijk,Frankrijk,Ardèche,"Glamping,Eenoudervakantie",Eenoudervakantie,Glamping,Zomervakantie,Frankrijk,232,"Glamping,Kamperen,Cultuur,Ontspanning,Zomervakantie,1000 plus km,Camping,Glamping (1),8-11 jaar,12-14 jaar,Frankrijk,Eenoudervakantie"
400,Eenoudervakantie Lacanau Océan,"Vier vakantie met je kinderen in Frans surfdorp Lacanau. Geniet van strand, surfen en campingplezier aan de Franse kust met andere eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/frankrijk/lacanau/,498.00 EUR,"https://www.estivant.nl/media/3dnmga3h/20120812_2737.jpg?rxy=0.48872180451127817,0.4192958837553869&width=1440&height=775&v=1dd450865260bb0",Watersport,Lacanau Océan,Frankrijk,Frankrijk,Lacanau Océan,"Watersport,Eenoudervakantie",Eenoudervakantie,Watersport,Zomervakantie,Frankrijk,498,"Strand,Watersport,Actief,Kamperen,Zomervakantie,1000 plus km,Camping,12-14 jaar,15 plus,Frankrijk,Eenoudervakantie"
401,Eenoudervakantie St Gilles Croix de Vie,"Vier vakantie aan de Franse westkust met je kinderen. Ontdek Saint-Gilles-Croix-de-Vie, surfen, strand en gezelligheid met eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/frankrijk/st-gilles-croix-de-vie/,232.00 EUR,"https://www.estivant.nl/media/bizd3mk1/istock-1361397795-1.jpg?rxy=0.4849624060150376,0.413643465655371&width=1440&height=775&v=1dd4500bbabd4e0",Actief,St Gilles Croix de Vie,Frankrijk,Frankrijk,St Gilles Croix de Vie,"Actief,Eenoudervakantie",Eenoudervakantie,Actief,Zomervakantie,Frankrijk,232,"Actief,Strand,Cultuur,Watersport,Kamperen,Glamping,Zomervakantie,500 tot 1000 km,Camping,4-7 jaar,8-11 jaar,12-14 jaar,Frankrijk,Eenoudervakantie"
440,Eenoudervakantie Marilleva,"De meest luxe skivakantie met je kinderen beleef je in Marilleva. Een viersterrenhotel op toplocatie, met 2 spa's, 3 zwembaden, een speelkamer én heerlijk eten.",https://www.estivant.nl/eenoudervakanties/italie/marilleva/,1659.00 EUR,https://www.estivant.nl/media/teeln5ye/csm_dp110324006_1458fec6e3.webp?width=1440&height=775&v=1dd30749c33e850,Wintersport,Marilleva,Italië,Italië,Marilleva,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Italië,1659,"Actief,Wintersport,Voorjaarsvakantie,500 tot 1000 km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Italië,Eenoudervakantie"
414,Eenoudervakantie Ameland,Vier vakantie met andere eenoudergezinnen op Ameland. Camping met zwembad en toplocatie achter de duinen. De hele dag buiten! Bekijk deze eenoudervakantie.,https://www.estivant.nl/eenoudervakanties/nederland/ameland/,299.00 EUR,"https://www.estivant.nl/media/vwko5wh4/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-duinen-zee.jpg?rxy=0.5025062656641605,0.8954166694509226&width=1440&height=775&v=1db198cc8fe0c90",Strand,Ameland,Nederland,Nederland,Ameland,"Strand,Eenoudervakantie",Eenoudervakantie,Strand,Zomervakantie,Nederland,299,"Strand,Watersport,Actief,Kamperen,Zomervakantie,200 tot 500 km,Camping,8-11 jaar,12-14 jaar,Nederland,Eenoudervakantie"
