id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,next_departure
386,Eenoudervakantie La Roche-en-Ardenne,"Ontdek de Ardennen met je kinderen en andere eenoudergezinnen. Volop natuur, leuke activiteiten en gezellige dorpjes om de hoek. Bekijk onze eenoudervakanties!",in stock,new,232.00 EUR,https://www.estivant.nl/eenoudervakanties/belgie/la-roche-en-ardenne/,"https://www.estivant.nl/media/kfrjrzn1/carindeben-estivantzomer2026_298.jpg?rxy=0.2756892230576441,0.618421052631579&width=1440&height=775&v=1dd3eb6421930a0","https://www.estivant.nl/media/qcvpgugc/img-20250417-wa0002.jpg,https://www.estivant.nl/media/wq5dcczz/carindeben-estivantzomer2026_325.jpg,https://www.estivant.nl/media/rchdonno/carindeben-estivantzomer2026_292.jpg,https://www.estivant.nl/media/d23je14q/carindeben-estivantzomer2026_328.jpg,https://www.estivant.nl/media/4goewfts/estivant-eenouder-vakantie-reizen-zomer-belgie-la-roche-en-ardenne-2018-ouders-klimpark-helmen.jpg,https://www.estivant.nl/media/uzzdwc2c/estivant-eenouder-vakantie-reizen-zomer-belgie-la-roche-en-ardenne-2024-mountainbiken-groep-ouders.jpg,https://www.estivant.nl/media/knkjfsge/carindeben-estivantzomer2026_293.jpg,https://www.estivant.nl/media/5mdcmlkl/estivant-eenouder-vakantie-reizen-voorjaar-belgie-la-roche-2023-klimmen-kind.jpg,https://www.estivant.nl/media/z52jhkq1/carindeben-estivantzomer2026_283.jpg,https://www.estivant.nl/media/lwhfdtfh/carindeben-estivantzomer2026_321.jpg",Estivant,Eenoudervakantie > België > Actief,Eenoudervakantie,Actief,Zomervakantie,België,"8-11 jaar, 12-14 jaar, 15 plus",232,,,
358,Eenoudervakantie Vielsalm Herfst,"Vier de herfstvakantie met je kinderen in Vielsalm. Geniet van buitenactiviteiten, ons luxe landhuis en gezelligheid met andere eenoudergezinnen.",in stock,new,557.00 EUR,https://www.estivant.nl/eenoudervakanties/belgie/vielsalm-herfst/,"https://www.estivant.nl/media/o5dd1ioo/bos-kinderen.jpg?rxy=0.5,0.43621813915358637&width=1440&height=775&v=1dd4130e2b066b0","https://www.estivant.nl/media/veepmabq/estivant-eenoudervakantie-belgie-vielsalm-herfst-3.jpg,https://www.estivant.nl/media/bnqkzm3f/facebookbericht-eog.jpg,https://www.estivant.nl/media/vsld0iat/pexels-helen1-14449804.jpg,https://www.estivant.nl/media/40mba3gf/40-246538_lsr_2023060934228758529.jpg,https://www.estivant.nl/media/reiho3zz/dsc03318.jpg,https://www.estivant.nl/media/hkdpmrbt/dsc07869.jpg,https://www.estivant.nl/media/sbqdybs0/dsc_6634.jpg,https://www.estivant.nl/media/xgghifve/carindeben-estivantzomer2026_153.jpg,https://www.estivant.nl/media/jsjephkn/marsmallows.jpg,https://www.estivant.nl/media/j3cmfqnf/43-246538_lsr_2023060933783690342.jpg",Estivant,Eenoudervakantie > België > Ontspanning,Eenoudervakantie,Ontspanning,Herfstvakantie,België,"4-7 jaar, 8-11 jaar, 12-14 jaar",557,,,
357,Eenoudervakantie Vielsalm Kerst,"Vier kerst met je kinderen en andere eenoudergezinnen in Vielsalm, de Belgische Ardennen. Een luxe landhuis, ultieme gezelligheid en de ultieme kerstsfeer.",in stock,new,597.00 EUR,https://www.estivant.nl/eenoudervakanties/belgie/vielsalm-kerst/,https://www.estivant.nl/media/awtfgnea/7-dsc02997.jpg?width=1440&height=775&v=1dd2e58dcfe3570,"https://www.estivant.nl/media/i2wd4mgx/24-dsc03987.jpg,https://www.estivant.nl/media/p2rfunob/estivant-eenouder-vakantie-reizen-belgie-vielsalm-winter-kerst-2023-117.jpg,https://www.estivant.nl/media/ec2ghxv4/carindeben-estivantzomer2026_143.jpg,https://www.estivant.nl/media/bifd43yc/estivant-eenouder-vakantie-reizen-belgie-vielsalm-winter-oud-en-nieuw-2023-2024-131.jpg,https://www.estivant.nl/media/s5bgcz20/38-dsc03301.jpg,https://www.estivant.nl/media/n20nixus/estivant-eenouder-vakantie-reizen-belgie-vielsalm-winter-kerst-2023-4.jpg,https://www.estivant.nl/media/4lhp2qnu/11-dsc03124.jpg,https://www.estivant.nl/media/4ykjwbbf/13-dsc03140.jpg,https://www.estivant.nl/media/x1oln43t/27-dsc04858.jpg,https://www.estivant.nl/media/ux4b2uv3/23-dsc03892.jpg",Estivant,Eenoudervakantie > België > Ontspanning,Eenoudervakantie,Ontspanning,Kerstvakantie,België,"4-7 jaar, 8-11 jaar, 12-14 jaar",597,,,
356,Eenoudervakantie Altastenberg-Winterberg,"Ga op wintersport met andere eenoudergezinnen in Winterberg. Een midweek skiën of snowboarden, perfect voor die eerste bochten. Bekijk deze voorjaarsvakantie!",in stock,new,657.00 EUR,https://www.estivant.nl/eenoudervakanties/duitsland/winterberg/,"https://www.estivant.nl/media/bizho1c4/estivant-eenoudervakantie-oostenrijk-flachau-wintersport-groep-skiers-3-2025-1.jpg?rxy=0.5463659147869674,0.6552129912920687&width=1440&height=775&v=1dcf349b091a750","https://www.estivant.nl/media/jpzjqijq/dsc06026-kopie-1.jpg,https://www.estivant.nl/media/zapfapm1/dsc02125.jpg,https://www.estivant.nl/media/inshk3ly/63-dsc03278.jpg,https://www.estivant.nl/media/io1nesac/istock-1066238370.jpg,https://www.estivant.nl/media/oimlammt/13-dsc06257.jpg,https://www.estivant.nl/media/z00jjets/12-dsc06250.jpg,https://www.estivant.nl/media/qmgkqrvk/istock-1302603121.jpg,https://www.estivant.nl/media/qoylbara/1-dsc01508-45f29ee8.jpg,https://www.estivant.nl/media/gachbcwn/16-dsc01512-677b5cad.jpg,https://www.estivant.nl/media/tipp2vwg/227-carindeben-photography_226.jpg",Estivant,Eenoudervakantie > Duitsland > Wintersport,Eenoudervakantie,Wintersport,Wintersport,Duitsland,"4-7 jaar, 8-11 jaar, 12-14 jaar",657,,,
395,Eenoudervakantie Eifel,Vier vakantie met andere eenoudergezinnen in Prüm-Eifel. Spelen in de natuur en het zwembad. Perfect voor jonge kinderen. Bekijk deze eenoudervakantie!,in stock,new,265.00 EUR,https://www.estivant.nl/eenoudervakanties/duitsland/prum-eifel/,"https://www.estivant.nl/media/rbvgo0cc/istock-1124253037.jpg?rxy=0.5025062656641605,0.6151487055131588&width=1440&height=775&v=1dd44e7f17936d0","https://www.estivant.nl/media/lvnadthk/carindeben-estivantzomer2026_132.jpg,https://www.estivant.nl/media/4geohr3o/carindeben-estivantzomer2026_89.jpg,https://www.estivant.nl/media/gyxdn1rb/carindeben-estivantzomer2026_107.jpg,https://www.estivant.nl/media/fssi13sh/carindeben-estivantzomer2026_62.jpg,https://www.estivant.nl/media/45ibtpke/carindeben-estivantzomer2026_135-1.jpg,https://www.estivant.nl/media/ggsd44am/carindeben-estivantzomer2026_19.jpg,https://www.estivant.nl/media/mfybfsnq/carindeben-estivantzomer2026_75.jpg,https://www.estivant.nl/media/yi4pi2ka/hongbin-j2d-vmznuho-unsplash-2.jpg,https://www.estivant.nl/media/ct0dzdky/carindeben-estivantzomer2026_39.jpg,https://www.estivant.nl/media/wytlhdmw/carindeben-estivantzomer2026_31.jpg",Estivant,Eenoudervakantie > Duitsland > Actief,Eenoudervakantie,Actief,Zomervakantie,Duitsland,"0-3 jaar, 4-7 jaar, 8-11 jaar",265,,,
403,Eenoudervakantie Ardèche,Vier vakantie met andere eenoudergezinnen in de Ardèche. Camping in de natuur met veel sportieve activiteiten in de buurt. Bekijk deze eenoudervakantie!,in stock,new,232.00 EUR,https://www.estivant.nl/eenoudervakanties/frankrijk/ardeche/,https://www.estivant.nl/media/jc3iqut2/istock-468425064.jpg?width=1440&height=775&v=1dcab16e88c95f0,"https://www.estivant.nl/media/omsfdnab/c754bf4451841694cf4db43ebd75c32d.jpg,https://www.estivant.nl/media/cyxl4icy/2-atelier-peinture.jpg,https://www.estivant.nl/media/rg4dkodf/estivant-eenouder-vakantie-reizen-zomer-frankrijk-ardeche-2024-skyline-water-bomen-rotsen.jpg,https://www.estivant.nl/media/zqeffsda/estivant-eenouder-vakantie-reizen-italie-dimaro-zomer-2021-pizzaparty.jpg,https://www.estivant.nl/media/lszjmucc/estivant-eenoudervakantie-frankrijk-ard%C3%A8che-2024-groepsfoto.jpg,https://www.estivant.nl/media/umin1qmb/489a8599-marina-geray.jpg,https://www.estivant.nl/media/gejd4uhd/estivant-eenouder-vakantie-reizen-zomer-frankrijk-ardeche-2024-camping-stoelen.jpg,https://www.estivant.nl/media/4q4k4kqr/estivant-eenouder-vakantie-reizen-frankrijk-argeles-zomer-2021-kinderen-zomerwerk.jpg,https://www.estivant.nl/media/iujpwzfk/pd1a9207-marina-geray.jpg,https://www.estivant.nl/media/vpyceljn/estivant-eenouder-vakantie-reizen-zomer-frankrijk-ardeche-2024-kinderen-begeleider-vlot-water.jpg",Estivant,Eenoudervakantie > Frankrijk > Glamping,Eenoudervakantie,Glamping,Zomervakantie,Frankrijk,"8-11 jaar, 12-14 jaar",232,,,
400,Eenoudervakantie Lacanau Océan,"Vier vakantie met je kinderen in Frans surfdorp Lacanau. Geniet van strand, surfen en campingplezier aan de Franse kust met andere eenoudergezinnen.",in stock,new,498.00 EUR,https://www.estivant.nl/eenoudervakanties/frankrijk/lacanau/,"https://www.estivant.nl/media/3dnmga3h/20120812_2737.jpg?rxy=0.48872180451127817,0.4192958837553869&width=1440&height=775&v=1dd450865260bb0","https://www.estivant.nl/media/pqrfd1jz/17689fe8-57f1-45ac-917e-ca8aa6a7c890.jpg,https://www.estivant.nl/media/kt1jomj4/16e69123-a99e-4a4e-9291-2b441d94d579.jpg,https://www.estivant.nl/media/a35eof0w/e764d490-7f59-43d9-b868-cfd003d36d05.jpg,https://www.estivant.nl/media/s2jmcpo4/img_4278.jpg,https://www.estivant.nl/media/siybpsqe/3f0c7b87-d211-4fae-87e6-467c44683ed4.jpg,https://www.estivant.nl/media/kugil454/6dcaf8ef-1d76-4db8-8357-fef6fd1b8307.jpg,https://www.estivant.nl/media/0fsjbiio/2025efea-6c6f-47f3-bd43-b0778a2a877f.jpg,https://www.estivant.nl/media/4e3koetp/b0589afe-7e31-4b7f-abd3-26792e7ac70e.jpg,https://www.estivant.nl/media/bwkafdez/splash-park.jpg,https://www.estivant.nl/media/swgehqoj/estivant-eenouder-vakanties-frankrijk-lacanau-windsurfen-2013-1.jpg",Estivant,Eenoudervakantie > Frankrijk > Watersport,Eenoudervakantie,Watersport,Zomervakantie,Frankrijk,"12-14 jaar, 15 plus",498,,,
401,Eenoudervakantie St Gilles Croix de Vie,"Vier vakantie aan de Franse westkust met je kinderen. Ontdek Saint-Gilles-Croix-de-Vie, surfen, strand en gezelligheid met eenoudergezinnen.",in stock,new,232.00 EUR,https://www.estivant.nl/eenoudervakanties/frankrijk/st-gilles-croix-de-vie/,"https://www.estivant.nl/media/bizd3mk1/istock-1361397795-1.jpg?rxy=0.4849624060150376,0.413643465655371&width=1440&height=775&v=1dd4500bbabd4e0","https://www.estivant.nl/media/ywjhjxia/img-20260810-wa0004.jpg,https://www.estivant.nl/media/trfjl2z5/img-20260803-wa0084.jpg,https://www.estivant.nl/media/pk5hfvqr/img-20260813-wa0093.jpg,https://www.estivant.nl/media/i5wdhrun/domainedebeaulieu-191.jpg,https://www.estivant.nl/media/fk1nvt55/img-20260731-wa0040.jpg,https://www.estivant.nl/media/ckgjkqf4/img-20260813-wa0061.jpg,https://www.estivant.nl/media/mgsfksph/port-la-vie-plaisance-st-gilles-1.jpg,https://www.estivant.nl/media/leparck2/img-20260816-wa0016.jpg,https://www.estivant.nl/media/2xnppum0/domainedebeaulieu-130-web.jpg,https://www.estivant.nl/media/ngcdwilq/4226-grande-plage-2.jpg",Estivant,Eenoudervakantie > Frankrijk > Actief,Eenoudervakantie,Actief,Zomervakantie,Frankrijk,"4-7 jaar, 8-11 jaar, 12-14 jaar",232,,,
440,Eenoudervakantie Marilleva,"De meest luxe skivakantie met je kinderen beleef je in Marilleva. Een viersterrenhotel op toplocatie, met 2 spa's, 3 zwembaden, een speelkamer én heerlijk eten.",in stock,new,1659.00 EUR,https://www.estivant.nl/eenoudervakanties/italie/marilleva/,https://www.estivant.nl/media/teeln5ye/csm_dp110324006_1458fec6e3.webp?width=1440&height=775&v=1dd30749c33e850,"https://www.estivant.nl/media/rsinzkii/carindeben-photography_93.jpg,https://www.estivant.nl/media/jgulrs4r/carindeben-photography_19.jpg,https://www.estivant.nl/media/5xddiukm/434132136.jpg,https://www.estivant.nl/media/0x3lk1hi/dsc01433-f62bb6fc.jpg,https://www.estivant.nl/media/xs0pn1at/536632954.jpg,https://www.estivant.nl/media/2gkon0m0/536632695.jpg,https://www.estivant.nl/media/qpsbzcxy/13-87-apt-val-di-sole-peio-c-briani.jpg,https://www.estivant.nl/media/3b3fg21k/16-archivio-apt-val-di-sole-foto-doppelmayr-2.jpg,https://www.estivant.nl/media/2zpkfzeg/carindeben-photography_61.jpg,https://www.estivant.nl/media/nh2h4cid/434132029.jpg",Estivant,Eenoudervakantie > Italië > Wintersport,Eenoudervakantie,Wintersport,Wintersport,Italië,"4-7 jaar, 8-11 jaar, 12-14 jaar, 15 plus",1659,,,
414,Eenoudervakantie Ameland,Vier vakantie met andere eenoudergezinnen op Ameland. Camping met zwembad en toplocatie achter de duinen. De hele dag buiten! Bekijk deze eenoudervakantie.,in stock,new,299.00 EUR,https://www.estivant.nl/eenoudervakanties/nederland/ameland/,"https://www.estivant.nl/media/vwko5wh4/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-duinen-zee.jpg?rxy=0.5025062656641605,0.8954166694509226&width=1440&height=775&v=1db198cc8fe0c90","https://www.estivant.nl/media/tp0fvkhp/ih7a7240.jpg,https://www.estivant.nl/media/4hog0ujz/ih7a7474.jpg,https://www.estivant.nl/media/22uenhdf/img_6355.jpg,https://www.estivant.nl/media/b0pd2oih/ameland-nederland-estivant-vakanties-eenouder-2023-zomer-eiland-24.jpg,https://www.estivant.nl/media/5pyft2ra/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-vuurtoren.jpg,https://www.estivant.nl/media/dsyfziqj/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-groep.jpg,https://www.estivant.nl/media/yr1d53dz/ih7a7525.jpg,https://www.estivant.nl/media/futjt041/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-meiden-plezier-spel.jpg,https://www.estivant.nl/media/gnqnbcdw/estivant-eenouder-vakantie-reizen-nederland-ameland-zomer-plezier-strand-zonsondergang.jpg,https://www.estivant.nl/media/zb5fwqfg/368685924_978198896745581_9136673505652572381_n.jpg",Estivant,Eenoudervakantie > Nederland > Strand,Eenoudervakantie,Strand,Zomervakantie,Nederland,"8-11 jaar, 12-14 jaar",299,,,
