id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,next_departure
371,Singlereis Antwerpen,Ga mee op singlereis naar Antwerpen en vier de feestdagen bij onze zuiderburen! Te boeken voor zowel een gezellige kerst als een feestelijk oud & nieuw!,in stock,new,649.00 EUR,https://www.estivant.nl/singlereizen/belgie/antwerpen-feestdagen/,https://www.estivant.nl/media/sohhuaje/istock-2222337572-2.jpg?width=1440&height=775&v=1dd410ab25a6590,"https://www.estivant.nl/media/5dro3r31/estivant-antwerpen-by-joyce-goverde-88.jpg,https://www.estivant.nl/media/wqrbms4n/estivant-antwerpen-by-joyce-goverde-94-1.jpg,https://www.estivant.nl/media/tpvl4myz/estivant-antwerpen-by-joyce-goverde-7.jpg,https://www.estivant.nl/media/dm5d21lv/shutterstock_557525077-antwerp.jpg,https://www.estivant.nl/media/5wqbj54e/estivant-antwerpen-by-joyce-goverde-80-1.jpg,https://www.estivant.nl/media/loebwxjb/winter-in-antwerpen__50ec2fc8-25d5-4319-bfbdd926c85ae04a.jpg,https://www.estivant.nl/media/rgjnkocg/winter-in-antwerpen__109b7def-8c0f-4409-a1f7273f75d62227.jpg,https://www.estivant.nl/media/tlxmiox1/istock-1281451068.jpg,https://www.estivant.nl/media/ihobcgdw/estivant-antwerpen-by-joyce-goverde-29-1.jpg,https://www.estivant.nl/media/umsjyz21/brouwerij-de-koninck.jpg",Estivant,Singlereis > België > Stedentrips,Singlereis,Stedentrips,,België,"40-59 jaar, 50-69 jaar",649,,,
370,Singlereis Gent,"Vier de feestdagen in Gent tijdens onze singlereis. Ontdek de kerstmarkt, vele biercafe's en de ijsbaan. Kies voor een gezellige kerst of knallend oud & nieuw!",in stock,new,639.00 EUR,https://www.estivant.nl/singlereizen/belgie/gent-feestdagen/,https://www.estivant.nl/media/2r5hsu0a/pexels-dylan-chan-2880813-30427221-1.jpg?width=1440&height=775&v=1dd2503ced75110,"https://www.estivant.nl/media/tp3d55h2/istock-629806278.jpg,https://www.estivant.nl/media/hfoigtiz/istock-2210674260.jpg,https://www.estivant.nl/media/kbcjjq1m/whatsapp-image-2026-01-05-at-131314.jpeg,https://www.estivant.nl/media/oz3clw23/visitreeks215-dt17223.jpg,https://www.estivant.nl/media/xbpjfud2/vuurwerk_4.jpg,https://www.estivant.nl/media/fhqhy5xd/istock-519213902.jpg,https://www.estivant.nl/media/uf2luwrt/visitreeks400-dt26770.jpg,https://www.estivant.nl/media/wdlfkybs/pexels-emre-hayit-949278713-29892248.jpg,https://www.estivant.nl/media/1cefyaxn/visitreeks215-dt17233.jpg,https://www.estivant.nl/media/c5wjvcmb/whatsapp-image-2026-01-05-at-131313.jpeg",Estivant,Singlereis > België > Stedentrips,Singlereis,Stedentrips,,België,"30-49 jaar, 40-59 jaar",639,,,
372,Singlereis Berlijn,Ga mee op singlereis naar Berlijn en vier de feestdagen in deze bruisende stad. Kies je voor een gezellige kerst of knallend oud & nieuw?,in stock,new,639.00 EUR,https://www.estivant.nl/singlereizen/duitsland/berlijn-feestdagen/,"https://www.estivant.nl/media/fgfnzjm4/berliner_weihnachtszeit18_c_visitberlin_foto_dagmar_schwelle.jpg?rxy=0.4824561403508772,0.5163562895951391&width=1440&height=775&v=1dd24bba3180e90","https://www.estivant.nl/media/uejfin2d/istock-1454026145.jpg,https://www.estivant.nl/media/atelwjlo/istock-504384970.jpg,https://www.estivant.nl/media/fpecicde/istock-989484998.jpg,https://www.estivant.nl/media/2csbfrsl/estivant-berlijn-def-130.jpg,https://www.estivant.nl/media/e4qg1idg/eisbahn_b_weihnachtszeit36_c_visitberlin_foto_dagmar_schwelle.jpg,https://www.estivant.nl/media/jwlpxtq1/istock-1272084793.jpg,https://www.estivant.nl/media/dpgpylgb/istock-889473148.jpg,https://www.estivant.nl/media/p3uoisju/estivant-berlijn-def-46.jpg,https://www.estivant.nl/media/xbubotcr/estivant-berlijn-def-127.jpg,https://www.estivant.nl/media/4ldgvxhy/istock-469790753.jpg",Estivant,Singlereis > Duitsland > Stedentrips,Singlereis,Stedentrips,,Duitsland,"30-49 jaar, 40-59 jaar",639,,,
432,Singlereis Keulen,Ga mee op singlereis naar Keulen en vier de feestdagen op echt Duitse wijze. De kerstmarkten van Keulen behoren tot de bekendste ter wereld!,in stock,new,599.00 EUR,https://www.estivant.nl/singlereizen/duitsland/keulen-feestdagen/,https://www.estivant.nl/media/h3kpbdp3/pexels-darku-1176844802-31311805.jpg?width=1440&height=775&v=1dd24c0da22fdf0,"https://www.estivant.nl/media/pajjwmxx/carindeben-photography_223-1.jpg,https://www.estivant.nl/media/ze0lgqfj/webp-3.jpg,https://www.estivant.nl/media/vciigd23/webp-2.jpg,https://www.estivant.nl/media/qahlrvzk/pexels-pixabay-415580.jpg,https://www.estivant.nl/media/h3xn1cto/carindeben-photography_336-1.jpg,https://www.estivant.nl/media/ydrp4w3b/600955262_1290553306433670_2321838914339790052_n.jpg,https://www.estivant.nl/media/kyyb5vcm/webp-4.jpg,https://www.estivant.nl/media/uavbryy2/595590321_1279685187520482_2847096276830023252_n.jpg,https://www.estivant.nl/media/uhrdsoux/1af5f012953afe4de4c8012d5073ab74.jpg,https://www.estivant.nl/media/qdti3ded/pexels-rawnato-18883682.jpg",Estivant,Singlereis > Duitsland > Stedentrips,Singlereis,Stedentrips,,Duitsland,"40-59 jaar, 50-69 jaar",599,,,
380,Singlereis El Gouna,Ga mee op singlereis naar El Gouna in Egypte. Ontsnap aan de winterkou in Nederland en geniet van deze winterzon vakantie!,in stock,new,1319.00 EUR,https://www.estivant.nl/singlereizen/egypte/el-gouna/,https://www.estivant.nl/media/1ikgzv0u/istock-1320488659-1.jpg?width=1440&height=775&v=1dd1e89fda4c610,"https://www.estivant.nl/media/yy0ddjwd/img_1721-1.jpg,https://www.estivant.nl/media/ngkgqak0/img_2534-1.jpg,https://www.estivant.nl/media/4djkajua/ice-422285-114785893-282522.jpg,https://www.estivant.nl/media/15vdxxfl/719f3fdb-ea6e-4351-8731-4bc04628e854-1.jpg,https://www.estivant.nl/media/ocucro2z/istock-157569311.jpg,https://www.estivant.nl/media/2hxkopxl/schermafbeelding-2025-07-01-124113.jpg,https://www.estivant.nl/media/5xggk0yn/istock-694428980.jpg,https://www.estivant.nl/media/nlpayhot/pexels-freestockpro-1540108.jpg,https://www.estivant.nl/media/bdvbqrzw/estivant-single-vakantie-reis-epirus-boot-4-1.jpg,https://www.estivant.nl/media/qgblw5py/kite-surfing-7244337.jpg",Estivant,Singlereis > Egypte > Winterzon,Singlereis,Winterzon,Winter,Egypte,"30-49 jaar, 40-59 jaar, 50-69 jaar",1319,,,
429,Singlereis Corfu,"Ga mee op singlereis naar Corfu, en ontdek dit prachtige groene eiland samen met je reisgenoten. Combineer strand, natuur en cultuur. Bekijk deze groepsreis!",in stock,new,1719.00 EUR,https://www.estivant.nl/singlereizen/griekenland/corfu/,"https://www.estivant.nl/media/mcpovx5l/istock-171321191.jpg?rxy=0.6741854636591479,0.5547169811320755&width=1440&height=775&v=1dcc746f25272c0","https://www.estivant.nl/media/cgndbukx/estivant-single-vakantie-reis-epirus-dolfijn-12.jpg,https://www.estivant.nl/media/5v2n5kac/istock-963222146.jpg,https://www.estivant.nl/media/r23ny20i/4-20250618_115514-2.jpg,https://www.estivant.nl/media/fi3jncbs/istock-1476833951.jpg,https://www.estivant.nl/media/0d5puuey/istock-1295676835.jpg,https://www.estivant.nl/media/zuqcjnbz/1-img-20250623-wa0005.jpg,https://www.estivant.nl/media/h0slmn3v/pexels-tania-nov-30041926-6920034-1.jpg,https://www.estivant.nl/media/j5rfrwob/istock-1305166349.jpg,https://www.estivant.nl/media/e1vnqtf4/istock-1144224061.jpg,https://www.estivant.nl/media/qjvbwwmy/6-20250618_152052-2.jpg",Estivant,Singlereis > Griekenland > Strand,Singlereis,Strand,Zomer,Griekenland,"30-49 jaar, 40-59 jaar, 50-69 jaar",1719,,,
436,Singlereis Thessaloniki & Litochoro,"Ontdek Thessaloniki en de Mount Olympus - de berg van de goden! Combineer stad, cultuur en natuur tijdens een georganiseerde reis door Noord-Griekenland.",in stock,new,1569.00 EUR,https://www.estivant.nl/singlereizen/griekenland/thessaloniki-olympus/,"https://www.estivant.nl/media/gu4d5rpm/istock-105929310.jpg?rxy=0.7243107769423559,0.5079200570844566&width=1440&height=775&v=1dcc74a981f55d0","https://www.estivant.nl/media/hytdbeoo/estivant-single-vakantie-reis-epirus-lefkas-lunch-2.jpg,https://www.estivant.nl/media/cnubqnoy/estivant-single-vakantie-reis-epirus-parga-38.jpg,https://www.estivant.nl/media/p3jkzzqi/paralia-katerini2.jpg,https://www.estivant.nl/media/do0km0jl/istock-177289101.jpg,https://www.estivant.nl/media/fqgi1d35/istock-1140691777.jpg,https://www.estivant.nl/media/x4lhog4i/506529463_10163078088203328_4102902239035116294_n.jpg,https://www.estivant.nl/media/rujh2fik/istock-1257211738.jpg,https://www.estivant.nl/media/wa3ah1rf/istock-513206445.jpg,https://www.estivant.nl/media/mkelwdl0/istock-2156056299.jpg,https://www.estivant.nl/media/as5hjx1j/estivant-single-vakantie-reis-epirus-preveza-strand-monolithi-19-1.jpg",Estivant,Singlereis > Griekenland > Rondreizen,Singlereis,Rondreizen,Zomer,Griekenland,"30-49 jaar, 40-59 jaar",1569,,,
376,Singlereis Marilleva,"Ga met andere singles op wintersport in Marilleva. Ontdek Val di Sole en Trentino en geniet samen van skiën, sneeuw en gezelligheid.",in stock,new,1199.00 EUR,https://www.estivant.nl/singlereizen/italie/marilleva/,"https://www.estivant.nl/media/whwpgee0/marilleva-424-1.jpg?rxy=0.5050125313283208,0.5456781649866458&width=1440&height=775&v=1dd2f00f1ac0170","https://www.estivant.nl/media/ioza0pm2/marilleva-407.jpg,https://www.estivant.nl/media/n2chjfnv/fotos-nerja-4.jpg,https://www.estivant.nl/media/vdlho4mf/marilleva-421.jpg,https://www.estivant.nl/media/0rsfjf5j/fotos-nerja-5.jpg,https://www.estivant.nl/media/jx1hkbrr/marilleva-176.jpg,https://www.estivant.nl/media/gxyamxts/marilleva-106.jpg,https://www.estivant.nl/media/tcafh1yj/582520728_18549742654022589_1674064302195288772_n-1.jpg,https://www.estivant.nl/media/hjhp1kdo/marilleva-224.jpg,https://www.estivant.nl/media/iy2fsuo0/marilleva-301-1.jpg,https://www.estivant.nl/media/25mj133a/marilleva-231.jpg",Estivant,Singlereis > Italië > Wintersport,Singlereis,Wintersport,Wintersport,Italië,"40-59 jaar, 50-69 jaar",1199,,,
431,Singlereis Toscane,"Ga mee op singlereis naar Toscane. Ontdek de steden Siena, Lucca, Florence én Cinque Terre. Inclusief diner bij een Toscaanse wijnboer. Bekijk deze groepsreis!",in stock,new,1529.00 EUR,https://www.estivant.nl/singlereizen/italie/toscane/,"https://www.estivant.nl/media/xqjbdvkg/estivant-single-vakantie-reizen-itali%C3%AB-toscane-zomer-2024-kathedraal-florence.jpg?rxy=0.474937343358396,0.8349385010309512&width=1440&height=775&v=1dcc0eaf60141b0","https://www.estivant.nl/media/hiwn0t0n/dsc05235-1.jpg,https://www.estivant.nl/media/nckkhii1/f94affcb-1828-4a13-8186-f8bd163beb88-1.jpg,https://www.estivant.nl/media/c4jka3i4/estivant-single-vakantie-reizen-italie-toscane-siena-piazzo-di-campo.jpg,https://www.estivant.nl/media/aqnczqyq/estivant-single-vakantie-reizen-itali%C3%AB-toscane-zomer-2023-cinque-terre.jpg,https://www.estivant.nl/media/xvjcdzew/istock-2056569012.jpg,https://www.estivant.nl/media/crmjhwcm/estivant-single-vakantie-reizen-italie-toscane-zomer-2023-129.jpg,https://www.estivant.nl/media/sfrbu4jb/estivant-single-vakantie-italie-toscane-zomer-2023-montecatini-alto.jpg,https://www.estivant.nl/media/fbeo4ugg/img_1765.jpg,https://www.estivant.nl/media/swaiprez/florence.jpg,https://www.estivant.nl/media/0cshgi4f/istock-641205724.jpg",Estivant,Singlereis > Italië > Rondreizen,Singlereis,Rondreizen,Zomer,Italië,"30-49 jaar, 40-59 jaar, 55-75 jaar, 50-69 jaar",1529,,,
369,Singlereis Groenlo,Ga mee op singlereis naar Groenlo en vier kerst in de Achterhoek. Inclusief halfpension én een feestelijk 5-gangendiner op eerste kerstdag. Altijd je eigen kamer!,in stock,new,699.00 EUR,https://www.estivant.nl/singlereizen/nederland/kerst-in-groenlo/,"https://www.estivant.nl/media/pn1iqz24/1-sng-fotoslider-745-x-400-groenlo.jpg?rxy=0.48872743197576796,0.7100122313755539&width=1440&height=775&v=1db2eba39de5b30","https://www.estivant.nl/media/1xwbo4y5/kerst-2023.jpeg,https://www.estivant.nl/media/n2ap1etn/kerstdiner-2024.jpeg,https://www.estivant.nl/media/ipld5wzv/8.jpg,https://www.estivant.nl/media/drfb53vf/55-estivant-single-vakantie-solo-groenlo-nederland-2023-cocktails.jpg,https://www.estivant.nl/media/yiwhnb45/spelletjes-doen-in-brouwershof.jpeg,https://www.estivant.nl/media/n2yhlmln/46-estivant-single-vakanties-reizen-solo-winter-kerst-nederland-groenlo-achterhoek-1.jpg,https://www.estivant.nl/media/2pgf2szs/pauze-tijdens-de-wandeling.jpeg,https://www.estivant.nl/media/pbzlzn1y/9.jpg,https://www.estivant.nl/media/jlxo10ge/50-estivant-single-vakantie-solo-groenlo-nederland-2023-reirinck.jpg,https://www.estivant.nl/media/yq2jto2u/wandelen.jpg",Estivant,Singlereis > Nederland > Wandelen,Singlereis,Wandelen,,Nederland,50-69 jaar,699,,,
